"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Status","Mature","Language","URL"
52,"https://static-cdn.jtvnw.net/jtv_user_pictures/7a3123cc-5f2d-479a-966e-367916bd8bd5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","RocketLeague","608798880","27300","106280","22300","4787431","422127","Partner","false","English","https://www.twitch.tv/rocketleague"
53,"https://static-cdn.jtvnw.net/jtv_user_pictures/78d83b69-f5f8-4e2b-8806-2e28bbf4f018-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","SLAKUNTV","9226515","17550","5577","525","4708476","-46632","Partner","false","Spanish","https://www.twitch.tv/slakuntv"
54,"https://static-cdn.jtvnw.net/jtv_user_pictures/9d33e0e6-8bd7-44ac-a4ba-9ac846283790-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Dakotaz","80145630","86025","4837","931","4641258","-20995","Partner","false","English","https://www.twitch.tv/dakotaz"
55,"https://static-cdn.jtvnw.net/jtv_user_pictures/025e54aa-7208-4a9a-98c6-37e09edf7f39-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","MrSavage","292884270","60375","40918","4851","4636032","123353","Partner","false","English","https://www.twitch.tv/mrsavage"
56,"https://static-cdn.jtvnw.net/jtv_user_pictures/69e324f6-fc7d-4131-89ed-227a955637cf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Gotaga","1006959690","92985","153754","10829","4624470","139457","Partner","false","French","https://www.twitch.tv/gotaga"
57,"https://static-cdn.jtvnw.net/jtv_user_pictures/57bcd9d2-8109-4caf-a763-81d3377699e1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Its_J0schi","210","60","7","3","4597666","1451","Community","false","German","https://www.twitch.tv/its_j0schi"
58,"https://static-cdn.jtvnw.net/jtv_user_pictures/593b5641-c626-4ba4-ba49-11cb33f6c3e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","IlloJuan","1277277690","45345","84789","28167","4564095","245936","Partner","false","Spanish","https://www.twitch.tv/illojuan"
59,"https://static-cdn.jtvnw.net/jtv_user_pictures/dfb5c790-5ea6-4543-bc2b-0f5f79b1f959-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TenZ","359687850","52380","46478","6866","4560817","221359","Partner","false","English","https://www.twitch.tv/tenz"
60,"https://static-cdn.jtvnw.net/jtv_user_pictures/020d2ed3-c2f2-4d33-805f-92cf966a9c43-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","stableronaldo","2702019180","130665","149922","20678","4538979","766251","Partner","false","English","https://www.twitch.tv/stableronaldo"
61,"https://static-cdn.jtvnw.net/jtv_user_pictures/198c0fe9-cf41-4ef1-ad55-405c1e599f25-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","elxokas","719546445","57870","58713","12433","4404667","152204","Partner","false","Spanish","https://www.twitch.tv/elxokas"
62,"https://static-cdn.jtvnw.net/jtv_user_pictures/a6af42bf-64db-42f6-9db6-88d3e85e4c34-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","DrLupo","78600135","62895","5004","1249","4404369","-54190","Partner","false","English","https://www.twitch.tv/drlupo"
63,"https://static-cdn.jtvnw.net/jtv_user_pictures/ea0fe422-84bd-4aee-9d10-fd4b0b3a7054-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Gaules","1603014000","522285","97006","3069","4327988","56004","Partner","true","Portuguese","https://www.twitch.tv/gaules"
64,"https://static-cdn.jtvnw.net/jtv_user_pictures/0c784204-f3aa-454f-aacc-8e304a6afc72-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Philza","79114185","46320","8274","1707","4294170","-36718","Partner","false","English","https://www.twitch.tv/philza"
65,"https://static-cdn.jtvnw.net/jtv_user_pictures/f067a235-27d9-415d-b25f-15387d7c972e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","RanbooLive","23499015","31905","3080","736","4287379","-82948","Partner","false","English","https://www.twitch.tv/ranboolive"
66,"https://static-cdn.jtvnw.net/jtv_user_pictures/4263365c-656e-4b3a-8456-0e802a745301-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","MissaSinfonia","9886335","3420","7792","2890","4206312","51457","Partner","false","Spanish","https://www.twitch.tv/missasinfonia"
67,"https://static-cdn.jtvnw.net/jtv_user_pictures/1d41de3c-731d-41ae-b0e7-615ad74db8f3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Symfuhny","519159735","157605","15187","3294","4123985","76972","Partner","false","English","https://www.twitch.tv/symfuhny"
68,"https://static-cdn.jtvnw.net/jtv_user_pictures/1aea44a4-d85b-401e-b9f5-cb6906d77594-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","benjyfishy","43442730","20010","7122","2171","4105587","21733","Partner","false","English","https://www.twitch.tv/benjyfishy"
69,"https://static-cdn.jtvnw.net/jtv_user_pictures/146bf883-600b-4edd-a73c-01794e9a6901-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","s1mple","84752145","5010","39731","16916","4103718","147270","Partner","false","English","https://www.twitch.tv/s1mple"
70,"https://static-cdn.jtvnw.net/jtv_user_pictures/f5e0c5c2-7530-41a4-a194-028393cf2474-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","easportsfc","309555600","43740","208193","7077","4030779","256867","Partner","false","English","https://www.twitch.tv/easportsfc"
71,"https://static-cdn.jtvnw.net/jtv_user_pictures/cc77b196-4964-42ee-8148-f13a12a7b885-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","quirify","750","300","8","2","3951755","1621966","Community","false","German","https://www.twitch.tv/quirify"
