"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Status","Mature","Language","URL"
"56","https://static-cdn.jtvnw.net/jtv_user_pictures/bd9a77a0-79bc-439a-a8fd-66cefabb3796-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","dota2_paragon_ru","1218850425","95685","77453","12738","531526","79232","Partner","false","Russian","https://www.twitch.tv/dota2_paragon_ru"
"57","https://static-cdn.jtvnw.net/jtv_user_pictures/e85bf53e-8e0a-4a35-824d-d2958293c3a6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Elajjaz","1199816175","156735","20097","7655","531370","14462","Partner","false","English","https://www.twitch.tv/elajjaz"
"58","https://static-cdn.jtvnw.net/jtv_user_pictures/6f36c08a-6f7d-40f1-a9e8-12eee2ff0f93-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","MontanaBlack88","1193570655","54630","319453","21848","5757718","194107","Partner","true","German","https://www.twitch.tv/montanablack88"
"59","https://static-cdn.jtvnw.net/jtv_user_pictures/5051503d-254c-4a94-abf5-c9de97b5c9a0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Nix","1192679280","43380","396265","27493","1092041","148562","Partner","true","Russian","https://www.twitch.tv/nix"
"60","https://static-cdn.jtvnw.net/jtv_user_pictures/53e6d242-7fc2-494e-9cc9-417fe7453a9e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TheBurntPeanut_247","1153689690","491055","26350","2349","462730","462706","Community","false","English","https://www.twitch.tv/theburntpeanut_247"
"61","https://static-cdn.jtvnw.net/jtv_user_pictures/1939615e-a34d-4fab-a035-8c3d8ffae278-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Squeezie","1136746920","20850","1366992","54520","5842097","526521","Partner","false","French","https://www.twitch.tv/squeezie"
"62","https://static-cdn.jtvnw.net/jtv_user_pictures/865826b7-35e7-47be-9bb8-aff3be1fa08f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","BastiGHG","1128401445","114420","74713","9861","2398056","263939","Partner","false","German","https://www.twitch.tv/bastighg"
"63","https://static-cdn.jtvnw.net/jtv_user_pictures/gronkh-profile_image-76b34139eaa46bb5-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","GRONKH","1097948940","59685","84390","18395","1791425","47695","Partner","true","German","https://www.twitch.tv/gronkh"
"64","https://static-cdn.jtvnw.net/jtv_user_pictures/b3fc1f16-0818-4121-8711-c31b9469bc21-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","GamesDoneQuick","1093364505","290100","67307","3768","2071642","15671","Partner","false","English","https://www.twitch.tv/gamesdonequick"
"65","https://static-cdn.jtvnw.net/jtv_user_pictures/c2aca19b-b318-4398-99a5-fb6a597536fd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ironmouse","1084196340","140010","39392","7743","2427611","139654","Partner","true","English","https://www.twitch.tv/ironmouse"
"66","https://static-cdn.jtvnw.net/jtv_user_pictures/606420a1-58b8-4965-826e-d376b83ac0f8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","batora324","1064322420","130080","43032","8182","190137","49112","Partner","false","Japanese","https://www.twitch.tv/batora324"
"67","https://static-cdn.jtvnw.net/jtv_user_pictures/cd95ee8e-a97b-4eba-8cb3-8245b77a24bb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","bratishkinoff","1046238255","89355","94580","11708","3682105","263421","Partner","true","Russian","https://www.twitch.tv/bratishkinoff"
"68","https://static-cdn.jtvnw.net/jtv_user_pictures/148c3b8a-a78b-4139-a429-7d3d90ce8a27-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","CohhCarnage","1038652155","148125","22405","7011","1710694","76116","Partner","false","English","https://www.twitch.tv/cohhcarnage"
"69","https://static-cdn.jtvnw.net/jtv_user_pictures/cd38df56-e572-4a60-9b02-76db09d0acdd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","yaritaiji","1035254130","124410","55460","8321","228499","82386","Community","false","Japanese","https://www.twitch.tv/yaritaiji"
"70","https://static-cdn.jtvnw.net/jtv_user_pictures/d96bbd7a-26e5-4c5e-b6a5-149d708a973b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","PaulinhoLOKObr","1016553330","35835","107470","28367","3677064","296362","Partner","false","Portuguese","https://www.twitch.tv/paulinholokobr"
"71","https://static-cdn.jtvnw.net/jtv_user_pictures/3799fbb2-e701-4ae9-9a48-48214d31579b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Adapt","1010170470","104145","215649","9699","1444354","676774","Partner","false","English","https://www.twitch.tv/adapt"
"72","https://static-cdn.jtvnw.net/jtv_user_pictures/b9df0ae8-3f6a-4515-9956-8020e7542f9c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","bySL4M","1007455245","65625","96150","15351","521058","108010","Partner","false","Russian","https://www.twitch.tv/bysl4m"
"73","https://static-cdn.jtvnw.net/jtv_user_pictures/69e324f6-fc7d-4131-89ed-227a955637cf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Gotaga","1006959690","92985","153754","10829","4624470","139457","Partner","false","French","https://www.twitch.tv/gotaga"
"74","https://static-cdn.jtvnw.net/jtv_user_pictures/b532ac95-4050-42cb-9d5d-9666a243654c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ow_esports","988576125","45450","93048","21750","2338802","264967","Partner","false","English","https://www.twitch.tv/ow_esports"
"75","https://static-cdn.jtvnw.net/jtv_user_pictures/a4bec7db-47b2-44f7-bb79-6de32e7bbca4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Bonjwa","985534950","198315","24707","4969","265559","16451","Partner","false","German","https://www.twitch.tv/bonjwa"
"76","https://static-cdn.jtvnw.net/jtv_user_pictures/4d2f4f20-4dba-4866-8a41-542378cb7089-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ExtraEmily","984354735","88935","54022","11068","966205","498971","Partner","false","English","https://www.twitch.tv/extraemily"
"77","https://static-cdn.jtvnw.net/jtv_user_pictures/ba5e4714-b7dd-43f5-9c62-df0c91647482-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Dakillzor","958810620","283245","29439","3385","331078","53570","Partner","true","English","https://www.twitch.tv/dakillzor"
"78","https://static-cdn.jtvnw.net/jtv_user_pictures/5efe32b5-32a1-43dc-805e-c63302f95bee-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","angryginge13","947753055","103545","62980","9153","1556375","311147","Partner","false","English","https://www.twitch.tv/angryginge13"
"79","https://static-cdn.jtvnw.net/jtv_user_pictures/338e8041-6289-4ba4-9029-d11f54153443-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Dmitry_Lixxx","947529135","104175","146785","9095","1866540","204391","Partner","false","Russian","https://www.twitch.tv/dmitry_lixxx"
"80","https://static-cdn.jtvnw.net/jtv_user_pictures/5537e5db-a0d9-489e-bc37-eb6609b6a713-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","deepins02","934689240","60555","42045","15435","2908985","417468","Partner","false","Russian","https://www.twitch.tv/deepins02"
"81","https://static-cdn.jtvnw.net/jtv_user_pictures/00e7ebf9-89b9-41e1-b2bc-263b0ce805d0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","JonVlogs","931067220","99210","47085","9384","2385687","155366","Partner","false","Portuguese","https://www.twitch.tv/jonvlogs"
"82","https://static-cdn.jtvnw.net/jtv_user_pictures/71f5f92d-c94b-41ba-80f2-480165a94605-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Marlon","928753500","105615","97174","8793","2087988","1789594","Partner","false","English","https://www.twitch.tv/marlon"
